ID	Cohort	Sample Type	GAPDH CT	HBEGF CT	NR4A3 CT 	S1 CT	SYTL3 CT	SULF1 CT	CH25H CT	HFKBIA CT	NR4A2 CT	EDN1 CT	VPS8 CT
67	GH	Control	11.849	24.906	27.826	26.846	21.223	Undetermined	30.041	18.134	23.800	23.552	20.439
68	GH	Control	11.226	23.915	27.198	25.978	19.750	35.001	28.105	16.826	21.568	22.910	19.384
69	GH	Control	10.566	24.472	27.855	25.397	20.094	Undetermined	28.616	16.341	21.637	22.162	19.208
70	GH	Control	10.693	24.026	27.738	25.963	19.895	Undetermined	27.352	16.609	22.142	22.405	19.071
71	GH	Control	9.856	25.917	26.933	23.906	18.653	33.559	27.305	14.280	19.755	21.869	18.263
72	GH	Control	11.219	24.577	27.462	25.829	20.151	Undetermined	28.160	16.964	22.891	22.891	19.606
73	GH	Control	10.734	24.944	29.140	26.036	20.061	32.994	29.718	17.301	22.242	23.483	19.659
74	GH	Control	10.592	24.349	27.550	25.753	19.520	31.951	28.418	17.005	21.740	23.253	19.562
75	GH	Control	9.621	24.945	27.329	25.182	19.634	33.191	29.153	16.819	20.994	22.963	19.437
76	GH	Control	10.908	24.991	27.623	25.359	19.463	34.864	28.462	16.960	20.651	22.933	19.374
77	GH	Control	10.784	24.869	27.513	26.117	20.722	34.787	28.686	16.966	22.473	23.659	19.819
78	GH	Control	10.479	25.003	28.773	25.667	19.844	Undetermined	28.666	17.083	21.354	22.909	19.703
79	GH	Control	11.610	25.835	27.299	26.112	20.464	33.463	29.375	16.965	22.626	23.920	19.731
80	GH	Control	10.776	24.302	27.230	25.738	19.838	33.273	27.948	16.484	21.459	22.600	19.289
81	GH	Control	9.903	24.247	27.502	26.234	19.426	33.455	29.172	16.274	21.577	23.506	18.964
